name,score
Computer Science,20.0
Business,17.0
Actuarial Maths,15.0
Primary Education,14.0
Nursing,13.0
Computing for Business,12.0
Genetics & Cell Biology,10.0
Applied Physics,10.0
Social Science,9.0
Mechanical Engineering,9.0
Chemistry,9.0
Accounting,9.0
Psychology,8.0
Physical Education and Maths,8.0
Electronic & Computer Engineering,8.0
"Economics, Politics & Law",7.0
Journalism,6.0
Data Science,6.0
Biotechnology,6.0
